Title,Condition,Buy Price,Author,Publisher,ISBN
"Love, Loneliness, Abuse, and Murder",Good,7.69,Jim Pulley,"Mill City Press, Inc",1937600122
Modern Negro Art (Moorland-Springarn Series),New,17.02,James A. Porter,Lushena Books,1639230998
P. Buckley Moss: Painting the Joy of the Soul,Like New,32.59,Peter Rippe,Landauer (IA),0964687097
"Alaska, Not for a Woman",Good,11.19,M.V. Carey,Not Avail,082831618X
With All My Might: An Autobiography,Good,6.89,Erskine Caldwell,Peachtree Pub Ltd,0934601119
"Just Mahalia, Baby: The Mahalia Jackson Story",Good,28.29,Laurraine Goreau,Pelican Publishing Company,0882894412
Hey Vern! It's the Ernest P. Worrell: Book of Knowledge,,0.0,Ernest P. Worrell,Ballantine Books,0934319006
The Nixons: A Family Portrait,Very Good,6.39,Ed Nixon,Book Publishers Network,1935359053
The Man in the Middle: An Inside Account of Faith and Politics in the George W. Bush Era,,0.0,Karl Rove,B&H Books,143367288X
"The Journey Is the Destination, Revised Edition: The Journals of Dan Eldon",New,33.28,Dan Eldon,Chronicle Books,1452101639
The Great Liquidator,Acceptable,24.29,John V. Grombach,Zebra Books,089083749X
Ticktock and Jim Famous Horse Stories,Acceptable,21.59,Keith Robertson,Grosset and Dunlap,B001L3QNLA
Hovory s T.G.Masarykem,Good,8.59,Karel Čapek,Catbird Press,0945774265
The Border Captain,Good,38.99,Marquis James,James Press,1443727776
Kachemak Bay Years: An Alaska Homesteader's Memoir,,0.0,Elsa Pedersen,Wizard Works,0967898919
Jeb Stuart (Civil War Library),Very Good,7.89,Glenn Tucker,Smithmark Publishers,0831713402
"Power, Pasta, and Politics",Good,5.69,Alfonse D'Amato,Hyperion Books,0786860456
The Journals,Good,7.09,Thornton Wilder,Yale University Press,0300040547
Ward Allen: Savannah River Market Hunter,Like New,163.69,Jay Cay,John Cay,099145250X
Ben-Gurion: A Biography.  The Centennial Edition,Good,28.49,Michael Bar-Zohar,Adama Books,0915361604
"Broadcast Rites and Sites, Revised Edition: I Saw It on the Radio with the Boston Red Sox",Very Good,8.59,Joe Castiglione,Taylor Trade Publishing,1589793242
The Greatest Showman on Earth: A Biography of P.T. Barnum (A People in focus book),Good,10.69,Ann Tompert,Dillon Press,0875183700
Behind the Ballots: The Personal History of a Politician,Good,10.39,James A. Farley,"Harcourt, Brace",B00126SYSQ
Dick Vitale's Living a Dream: Reflections on 25 Years Sitting in the Best Seat in the House,Like New,6.29,Dick Weiss,Sports Publishing LLC,1582617384
STEWdio: The Naphic Grovel ARTrilogy of Chuck D,Very Good,15.99,Chuck D,Enemy Books,1636141005
Hoax: The Inside Story of the Howard Hughes-Clifford Irving Affair,Good,13.99,Magnus Linklater,Viking Press,B0011WEQYC
My Journey with Maya,Very Good,4.69,Tavis Smiley,Back Bay Books,0316341770
Gangster Redemption,,0.0,Larry Lawton,Health Communications,0985408200
No Man Is an Island: A Study of Singapore's Lee Kuan Yew,,0.0,James Minchin,Routledge,0044000286
Lost in the Himalayas: James Scott's 43-Day Ordeal,Very Good,9.89,James            Scott,Heyne,3453172116
Pioneering the Superstore: A Retail Revolution,Very Good,6.69,Helen Hosier,Brown Books,1934812765
Летопись моей музыкальной жизни,Acceptable,12.19,Nikolai Rimsky-Korsakov,Faber & Faber,0571142451
Aagaard's African Adventures,,0.0,Finn Aagaard,Safari Press,1571572848
Claus Spreckels: The Sugar King in Hawaii,Good,59.99,Jacob Adler,University of Hawaii Press,B0007DF02S
The Buckleys: a family examined,,0.0,Charles Lam Markmann,William Morrow & Company,0688001521
Combat Surgeon in Vietnam,New,24.22,Andrew Lovy Do,Outskirts Press,1977225268
The Great Canadian Range,New,21.0,Philip S Long,Createspace Independent Publishing Platform,1544729413
The Inventor's Dilemma: The Remarkable Life of H. Joseph Gerber,,0.0,David J.  Gerber,Yale University Press,0300123507
"Fast Guys, Rich Guys, and Idiots: A Racing Odyssey on the Border of Obsession",New,19.14,Sam Moses,Bison,0803210965
"John, Whom Jesus Loved",New,29.95,James Culross,Kessinger Publishing,1166177041
One Moment Past Midnight,Good,6.59,Emilie Richards,Silhouette Books,0373079494
Chapters from an Autobiography,Acceptable,45.09,Samuel M. Steward,Grey Fox Press,0912516607
"Thief! The Gutsy, True Story of an Ex-Con Artist",Like New,8.19,William Slick Hanner,Barricade Books,156980317X
The Story of Ray Davis: General of Marines,Good,9.89,Ray Davis,Research Triangle Publishing,1884570291
Schirra's Space,,0.0,Walter M. Schirra,Quinlan Press (MA),1557701040
Tyler Rose: The Earl Campbell Story,Very Good,22.09,Patti Joe Miller,"Schuromil Productions, Incorporated",096595630X
The Collected Letters of Joseph Conrad (The Cambridge Edition of the Letters of Joseph Conrad),Very Good,40.39,Joseph Conrad,Cambridge University Press,0521257484
Two Paths: America Divided or United,Very Good,7.99,John Kasich,Thomas Dunne Book for St. Martin's Griffin,1250181747
Class Act: William Haines Legendary Hollywood Decorator,,0.0,Jean H. Mathison,Pointed Leaf Press,0972766146
Lucrezia Borgia: Nach Urkunden und Correspondenzen ihrer eigenen Zeit,New,10.48,Ferdinand Gregorovius,Createspace Independent Publishing Platform,1499258348
Genealogical Dictionary of Rhode Island Comprising Three Generations of,New,78.1,John Osborne Austin,Clearfield,0806380136
Jinnah of Pakistan,Good,46.39,Stanley Wolpert,"Oxford University Press, USA",0195034120
Emergence: A transsexual autobiography,,0.0,Mario Martino,Crown Publishing Group (NY),0517529521
The Louisa Alcott Story Book,New,27.95,Louisa May Alcott,Kessinger Publishing,1166172759
Devil's Bodyguard,Very Good,17.69,James M. Phillips,Phillips Pubns,093257212X
Admonitions of St. Francis of Assisi (Franciscan Herald Pr),,0.0,Lothar Hardick,Franciscan Press,081990869X
Lin Yutang on the wisdom of America,,0.0,Lin Yutang,Parker Press,1406731153
"On the Trail of the Buffalo Soldier: Biographies of African Americans in the U.S. Army, 1866-1917",,0.0,Frank N. Schubert,Scarecrow Press,0842024824
Frank Kelly Freas: The Art of Science Fiction,Very Good,128.19,Frank Kelly Freas,Donning,0915442388
The Prose Works of John Milton: Containing the First Book of a Treatise on Christian Doctrine,Good,14.19,James Augustus St John,Wiley-Blackwell,140512931X
"Trotsky: A documentary,",Good,12.19,David King,Penguin Group,0140035222
Robert E. Rich: Memoirs of an innovator,Very Good,42.59,Michael J. Billoni,Canisius College Press,0967148014
Joseph Smith: The Making of a Prophet (A Biography),,0.0,Dan Vogel,Signature Books,1560851791
Different Drummers,Like New,6.29,Don Caron,CreateSpace Independent Publishing Platform,149273327X
Keep Climbing: How I Beat Cancer and Reached the Top of the World,Very Good,5.79,Sean Swarner,Atria Books,0743292065
Henry Ford and Grass-Roots America,Good,5.59,Reynold M. Wik,University of Michigan Regional,0472061933
The Art of Leadership,Acceptable,18.19,Oba T'Shaka,Pan African Publication,1878557025
An Invisible Spectator: A Biography of Paul Bowles,Good,6.69,Christopher Sawyer-Laucanno,Grove Press,0802136001
Nixon vs. Nixon: An emotional tragedy,Good,8.19,David Abrahamsen,Farrar Straus Giroux,0374222754
Shakespeare Never Did This,Acceptable,69.79,Charles Bukowski,Black Sparrow Press,0876859694
Shocking: The Art and Fashion of Elsa Schiaparelli,Very Good,95.59,Dilys Blum,Philadelphia Museum (PA),0876331711
Maurice Chevalier,Good,6.89,Michael Freedland,Morrow,0688006523
The Kennedy Assassination Cover-Up,New,17.95,Donald Gibson,Progressive Press,1615779639
Borges: A Life,Like New,6.59,James Woodall,Basic Books,0465007244
Murder at Broad River Bridge: The Slaying of Lemuel Penn by the Ku Klux Klan,New,19.52,Bill Shipp,University of Georgia Press,082035161X
Virtuoso: The Tool Cabinet and Workbench of Henry O. Studley,,0.0,Donald C. Williams,Lost Art Press,B07FK22KM8
Elvis: In The Twilight of Memory,,0.0,June Juanico,Arcade Publishing,1559704365
Elogio dell'imperfezione,Acceptable,27.49,Rita Levi-Montalcini,Basic Books,0465032184
"From Pimp Stick to Pulpit-It's Magic: The Life Story of Don ""Magic"" Juan",,0.0,Ann Bromfield,Vantage Press,053310873X
"Ain't No Sense Worryin: The Wisdom of Mick ""the Quick"" Rivers",,0.0,Mickey Rivers,Sports Publishing LLC,1582617201
So Laugh a Little,Acceptable,16.79,Molly Picon,Paperback Library,B000P3P9JE
"Ling: The Rise, Fall, and Return of a Texas Titan",New,34.95,Stanley H. Brown,Beard Books,1893122301
No Mere Bagatelles,Good,22.59,Jeffrey Sussman,Judith Leiber LLC,0615337317
"Coach of the Century, an Autobiography",,0.0,John Carver,Hard Times Cattle Company Publ,0966357922
Che on my mind,Very Good,7.09,Margaret Randall,Duke University Press,0822355922
The Emperor of Dreams (Fantasy Masterworks),,0.0,Clark Ashton Smith,TRAFALGAR SQUARE +,057507373X
"Hey, White Girl!",New,18.2,Susan Gregory,W. W. Norton & Company,0393335534
The Full Cup: A Chronicle of Grace,,0.0,Peter S. Ruckman,Bible Baptist Bookstore,1580264840
Medicine Trails: A Life in Many Worlds,Very Good,33.89,John F. Salter,Heyday Books,1597141178
Cinderella Rockefeller: A Life of Wealth Beyond All Knowing,Good,5.49,Isabel Lincoln Elmer,Freundlich Books,088191052X
Daily Readings from the Writings of St. John Chrysostom,Acceptable,57.69,Anthony M. Coniaris,Light & Life Publishing Company,0937032514
The Singing Heart: The Life Story of Antoinette Marie Kuhn,New,26.95,Lawrence George Lovasik,"Literary Licensing, LLC",1258324679
Brann and the Iconoclast,Good,6.89,Charles Carver,University of Texas Press,0292707657
The Geraldo Show: A Memoir,Very Good,4.79,Geraldo Rivera,Benbella Books,1944648909
Nice Goin: My Life on Skis,,0.0,Friedl Pfeifer,Pictorial Histories Publishing Co.,0929521846
William H Jackson,Good,21.19,Beaumont Newhall,"Morgan & Morgan, Inc.",0871000458
"Ministry of Lies: The Truth Behind ""The Secret Relationship Between Blacks and Jews""",,0.0,Harold Brackman,Basic Books,1568580169
THE HERO OF MOLOKAI Father Damien Apostle of the Lepers,Good,15.49,Omer Englebert,St Paul Publications,B0007ENP5G
Nelson,New,34.49,C.S. Forester,Simon Publications,1931541698
"Ministry of Lies: The Truth Behind ""The Secret Relationship Between Blacks and Jews""",,0.0,Harold Brackman,Basic Books,1568580169
I Am in Fact a Hobbit: An Introduction to the Life and Works of J. R. R. Tolkien,New,31.68,Perry C. Bramlett,Mercer University Press,0865548943
"The Capture, The Prison Pen And The Escape: Giving A Complete History Of Prison Life In The South",New,24.95,Willard W. Glazier,Legare Street Press,1017669147
Namath (Icons of the NFL),,0.0,Shawn Coyne,Rugged Land Books,1590710819
Each Man in His Time: The Life Story of a Director,,0.0,Raoul Walsh,Farrar Straus Giroux,0374145539
"Just the Facts, Ma'Am: The Authorized Biography of Jack Webb",Good,72.79,Daniel Moyer,Titlewaves Publishing,1570777144
Hitler at Home,,0.0,Despina Stratigakos,Yale University Press,030018381X
Sages & Seers,Acceptable,15.89,Manly P. Hall,Philosophical Research Society,0893143936
A Personal Record,Acceptable,6.09,Joseph Conrad,Createspace Independent Publishing Platform,1537001787
"The Southwest of John H. Slaughter, 1841-1922: Pioneer Cattleman and Trail-Driver of Texas, the Pecos, and Arizona and Sheriff of Tombstone",,0.0,Allen A. Erwin,The Arthur H. Clark COmpany,0870622781
"Black Classical Musicians and Composers, 1500-2000",,0.0,Rodreguez King-Dorset,McFarland & Company,1476669767
Under the Texas Sun: Adventures of a Texas Cowpuncher (Wardlaw Books),Like New,13.39,Anna Manns Dana,Texas A&M University Press,1603440453
Frozen Fire: The Story of the Cars,Good,152.69,Toby Goldstein,McGraw-Hill/Contemporary,0809252570
Kwulasulwut: Stories from the Coast Salish,,0.0,Ellen White,Theytus Books,0919441459
"Against All Odds: My Life of Hardship, Fast Breaks, and Second Chances",Good,4.39,Scott T. Brown,Harper Paperbacks,0062015559
Harness Maker's Dream: Nathan Kallison and the Rise of South Texas,New,20.74,Nick Kotz,Texas Christian University Press,087565567X
From Russia to the West: The Musical Memoirs and Reminiscences of Nathan Milstein,,0.0,Nathan Milstein,Limelight Editions,0879101512
Giant of the Atom Ernest Rutherford,,0.0,Robin McKown,"MESSNER, 1967",B002R99KYO
"Vinegar pie and chicken bread: A woman's diary of life in the rural South, 1890-1891 (The President's series in Arkansas and regional studies)",Acceptable,7.49,Nannie Stillwell Jackson,University of Arkansas Press,0938626256
And They Shall Walk,,0.0,Martha Ostenso,"Dodd, Mead and Co.",B000MWA03S
Left for Dead,,0.0,Sal Greco,Avanti Associates,0972555706
"Mary Eliza Mahoney, 1845-1926 : America's First Black Professional Nurse, a Historical Perspective",Good,43.09,Helen S. Miller,Wright Publishing Company,0935087133
Where's Poppa?,Good,42.59,Robert Klane,Paperback Library,B000EEI086
Jurassic Mary: Mary Anning and the Primeval Monsters,New,20.45,Patricia Pierce,History Press,075095924X
Mig-15 to Freedom: Memoir of the Wartime North Korean Defector Who First Delivered the Secret,New,26.35,No Kum-sok,McFarland & Company,0786431067
Guess I'm Lucky: My Life in Horseracing,Good,10.09,Woody Stephens,Doubleday Books,0385195680
The Way We Were: Recollections of South Walton Pioneers,,0.0,"South Walton Three Arts Alliance, Inc. Staf","South Walton three Arts Alliance, Inc.",0966680502
Elvis Through My Eyes,,0.0,Bill Burk,St Lukes Pr,0942179005
Citizen Nader,Good,6.39,Charles McCarry,Saturday Review,0841501637
Mayor: Notes on the Sixties,Good,29.89,Ivan Allen,Simon & Schuster,0671208896
Ivan Lendl's Power Tennis,Good,117.19,Eugene Scott,Simon & Schuster,0671459082
The Autobiography of an Unknown South African,Good,7.39,Naboth Mokgatle,Univ of California Press,0520029038
Black Cowboys,,0.0,Paul W. Stewart,"Phillips Publications, Incorporated",0938657003
First World Flight - The Odyssey of Billy Mitchell,Acceptable,5.69,Spencer Lane,U.S. Financial Services,0971011001
A Tourist in Spite of Himself,Good,10.29,A. Edward Newton,Little Brown,B000OP4TVC
Mr. Baruch,Good,5.59,Margaret L. Coit,Houghton Mifflin,B0006AUN4C
Ideals of St. Francis of Assisi,Very Good,40.89,Hilarin Felder,Kessinger Publishing,1425486908
"The Ingoldsby Legends, or Mirth and Marvels",New,14.9,Richard Harris Barham,Createspace Independent Publishing Platform,1515038548
From an Orphan to a King,,0.0,Eddie Feigner,Immortal Investments Pub.,0972363726
Små skizzer,Good,24.89,Axel Munthe,Kessinger Publishing,1417907207
Mein Leben,Good,23.89,Oskar Kokoschka,Macmillan,0025661507
If I were an animal,,0.0,Fleur Cowles,William Morrow & Company,0688061508
Painting Place: The Life and Work of David B. Milne,,0.0,David P. Silcox,University of Toronto Press,0802040950
Redefining Success: Still Making Mistakes,Like New,5.39,W. Brett Wilson,Portfolio,067006694X
Mushroom: The Story of the A-Bomb Kid,Good,18.89,John Aristotle Phillips,"William Morrow and Co., Inc.",0688033512
"Yes, But...",,0.0,Dore Ashton,Viking Books,0670793884
"Mountain air: The life of Gordon Stuart, mountain man of the North Cascades",,0.0,Sandy K. Nelson Bryant,DMI,0939688204
Godard: Don't Drink & Draw: The Life and Art of Michael Godard,,0.0,Enfantino Publishing,Publishers Design Group,192917022X
So Long Until Tomorrow: From Quaker Hill to Kathmandu,Good,10.69,Lowell Jackson Thomas,William Morrow,B010TT92TG
"Mountain air: The life of Gordon Stuart, mountain man of the North Cascades",,0.0,Sandy K. Nelson Bryant,DMI,0939688204
Fearlessness: The Story of Lisa Andersen,Good,5.49,Nick Carroll,Chronicle Books,0811854817
Rise of the Fighter Generals: The Problem of Air Force Leadership 1945 - 1982,Very Good,4.79,Mike Worden,Air University Press,1585660485
Les grandes épreuves de l'esprit et les innombrables petites,Very Good,39.29,Henri Michaux,Not Avail,0151557209
Impresario: A memoir,,0.0,Sol Hurok,Random House,B0007DP4F6
In The Shadow Of Lincoln's Death,Good,21.19,Otto Eisenschiml,Wilfred Funk,B0006AP26Q
Embarrassing Confessions of a Marine Lieutenant: Operation Branding Iron 2.1A,,0.0,Donny O'Malley,"O'Malley Entertainment, LLC",1943979006
Memoirs of Marshal G. Zhukov,Good,32.19,Georgi K. Zhukov,SEYMOUR LAWRENCE BOOK - DELACORTE PRESS,B0019BIY84
C.Z. Guest: American Style Icon,,0.0,Susanna Salk,Rizzoli International Publications,0847839710
Paulus and Stalingrad: A Life of Field-Marshal Friedrich Paulus,Good,59.49,Walter Görlitz,Citadel,B000IOHWXG
"You reject them, you reject me: The prison letters of Joan Andrews",Very Good,12.09,Joan Andrews,Trinity Communications,0937495255
Body Slam: The Jesse Ventura Story,Acceptable,9.59,Jake Tapper,St. Martin's Press,0312972024
"The Years That Were Fat: Peking, 1933-1940 (Oxford in Asia Paperbacks Series)",Good,8.39,George N. Kates,"Oxford University Press, USA",0195827090
Robert Marx: Quest for Treasure,,0.0,Robert F. Marx,"RAM U.S.A., Publications and Distribution",0915920425
The Search for JFK,Good,8.39,Clay Blair Jr.,Putnam Publishing Group,0399114181
Fallen Angel: From Hell's Angel to Heaven's Saint,,0.0,Barry Mayson,Doubleday Books,0385179340
Souvenirs de la Kschessinska,Acceptable,10.89,Mathilde Kschessinska,Pantianos Classics,178987078X
Portraits of Crime,,0.0,Ector. Garcia,Condor,0895160102
Yes! The Life of Josemaria Escriva,Good,114.79,Miguel Angel Carceles,Scepter Publishing,0933932685
The Education of a True Believer,,0.0,Lev Kopelev,HarperCollins Publishers,0060124768
Teed Off,Good,8.39,Dave Hill,Prentice Hall,0139022473
Portraits and Principles Of the World's Great Men and Women,New,43.95,William C. King,Legare Street Press,1015866646
The American Life of Ernestine L. Rose (Writing American Women),Good,23.19,Carol A. Kolmerten,Syracuse University Press,0815605285
Diary of a Dream: My Journey in Thoroughbred Racing,Good,9.49,George Rowand,Eclipse Press,1581501277
John Jasper,Good,6.39,William Eldridge Hatcher,Global Gospel Publishers,0937931128
When the Smoke Hit the Fan,Good,6.89,Ralph Bellamy,Not Avail,0385148607
"The Missabe Road: The Duluth, Missabe and Iron Range Railway (The Fesler-Lampert Minnesota Heritage Book Series)",Good,17.89,Frank Alexander King,Golden West Books,0870950401
What Does Joan Say?: My Seven Years As White House Astrolager to Nancy and Ronald Reagan,,0.0,J. Quigley,Pinnacle Books,1558174737
W. S. Gilbert: A Classic Victorian and His Theatre,Very Good,7.19,Jane W. Stedman,"Oxford University Press, USA",0198161743
Accidental Agent: Behind Enemy Lines with the French Resistance,New,30.95,John Goldsmith,Pen & Sword Military,147388781X
Clarence King : A Biography (Revised and Enlarged Edition),Good,10.19,Thurman Wilkins,Macmillan,B0006AVG98
The Letters of Denise Levertov and William Carlos Williams,Good,14.69,Christopher MacGowan,New Directions Publishing Corporation,0811213927
Diary of an Amazon Jungle Guide: Amazing Encounters with Tropical Nature and Culture,,0.0,Paul Beaver,AE Publications,0972480919
God's Gold,,0.0,John T. Flynn,"Harcourt,Brace",B000855O1W
Tour de Life: From Coma to Competition,Very Good,5.69,Saul Raisin,Three Story Press,0974849227
Garbage and the goddess: The last miracles and final spiritual instructions of Bubba Free John,,0.0,Adi Da Samraj,Dawn Horse Press,0913922102
The Last Goodnights: Assisting My Parents with Their Suicides,Very Good,5.89,John West,Catapult,158243557X
To the Loss of the Presidency,,0.0,Allan Nevins,American Political Biography Press,0945707282
Joe Frank Harris: Personal Reflections on a Public Life,Good,6.59,Joe Frank Harris,Mercer University Press,0865545995
Ninety Years at the Isles of Shoals,New,26.95,Oscar Laighton,"Literary Licensing, LLC",1258275910
Mission into Time (His A Scientology book),Good,51.09,L. Ron Hubbard,"Bridge Publications, Inc.",0884040232
Willis Haviland Carrier Father of Air Conditioning (Technology and Society Ser),Good,68.19,Margaret Ingels,Carrier Corporation,B000VK3Z8I
glimmerIQs: A Florilegium,Very Good,170.89,Jack Kevorkian,"Penumbra, Inc.",0960203079
Born in the Delta: Reflections on the Making of a Southern White Sensibility,Good,5.79,Margaret Jones Bolsterli,University of Arkansas Press,1557286167
Catherine of Aragon,,0.0,John E. Paul,Fordham University Press,0823206858
Bob Thompson (Ahmanson-Murphy Fine Arts Book),,0.0,Thelma Golden,University of California Press,0520212592
A Star Danced,Acceptable,4.89,Gertrude Lawrence,"Doubleday, Doran",B0007DP8NE
The American Agent: My Life in the CIA,,0.0,Richard L. Holm,Not Avail,1903608104
Difficulties of becoming the living Eck master,Good,44.49,Paul Twitchell,IWP Pub,0914766635
Orvie: The Dictator of Dearborn : The Rise and Reign of Oriville L. Hubbard (Great Lakes Books (Paperback)),,0.0,David L. Good,Wayne State University Press,0814322891
From the forecastle to the cabin;: Being the memoirs of Capt. Samuel Samuels,New,23.95,Samuel Samuels,Legare Street Press,1015621015
"Umpqua Valley, Oregon and its Pioneers, The History of a River and Its People",Good,23.49,Harold Minter,Binfords & Mort,B0006BQV8S
Shame and Wonder,New,18.87,David Searcy,Random House,0812993942
Aly: A Biography,Good,40.29,Leonard Slater,Random House,1125655135
The Encyclopedia Of Talmudic Sages,,0.0,Danny Siegel,Jason Aronson,0876689039
From the Rearview Mirror: Reflecting On Connecting the Dots,Good,6.89,Bill Milliken,Hay House,140193790X
The Mario Lanza Story,New,21.81,Constantine Callinicos & Ray Robinson,Chosho Publishing,195842546X
Never Can Say Goodbye: The Katherine Jackson Story,,0.0,Katherine Jackson,Vintage Pop Media,0982800002
"Noble Essences: An Autobiography, Vol. 5",Good,15.59,Osbert Sitwell,Macmillan & Co Ltd London,B0016NHEHW
Opium Tea,Good,7.89,Bianca Tam,Tale Weaver Pub.,094213902X
Dike Eddleman: Illinois' Great Sport,,0.0,Diana E. Lenzi,Sports Publishing LLC,1571671994
"Fearless Women, Fearless Wisdom",Good,7.29,Mary Ann Halpin,Fearless Women Publishing,0615367194
Lauryn Hill: She's Got That Thing,Good,6.79,Chris Nickson,St. Martin's Press,0312972105
John La Farge,Very Good,9.39,Henry Adams,Routledge,1563246538
Dimaggio: An Illustrated Life,Very Good,6.59,Dick Johnson,Walker & Company,0802713114
No Lost Causes,Good,19.49,Álvaro Uribe Vélez,Penguin Group,0451413814
My prison,Acceptable,7.29,Luisa Isabel Álvarez de Toledo,HarperCollins Publishers,0060100982
Can't You Get Along With Anyone?: A Writer's Memoir and a Tale of a Lost Surfer's Paradise,Good,32.19,Allan C. Weisbecker,Bandito Books,0979711703
A Black Boy at Eton,,0.0,Dillibe Onyeama,Penguin Group,0241993814
"The Threads Of Time, The Fabric Of History: Profiles Of African American Dressmakers And Designers From 1850 To The Present",,0.0,Rosemary E. Reed Miller,Toast and Strawberries Press,0970971303
Dual allegiance: An autobiography,Good,17.49,Ben Dunkelman,Macmillan of Canada,0517530112
Hell's Cartographers (Orbit Books),Very Good,8.49,Brian W. Aldiss,HarperCollins Publishers,0060100524
Goa Freaks: My Hippie Years in India,Like New,32.49,Cleo Odzer,Quality Paperback Book Club,B001JZ6E3C
The Truth About Elvis,Good,53.29,Jess Stearn,Jove Books,0515051543
The Will Rogers Book,Good,10.89,Paula McSpadden Love,Texian Press,B0006CGFBK
MacArthur: His Rendezvous with History.,Acceptable,22.09,Maj. Gen. Courtney. Whitney,Praeger,0837195640
Oconomowoc: Barons to Bootleggers,Very Good,200.79,Barbara Barquist,Leitzke Printing Ltd.,0967517907
Strength for the Journey: An Autobiography,Acceptable,6.59,Jerry Falwell,Pocket Books,0671673211
"The United States Air Force in Korea, 1950-1953",Acceptable,15.89,Robert Frank Futrell,"Literary Licensing, LLC",1258357410
Climbing Back,Acceptable,4.89,Mark Wellman,ICS Books,1570340420
Grandmaster Preparation,,0.0,Lev Polugaevsky,Ishi Press,4871874516
John Ware's Cow Country,Acceptable,18.09,Grant MacEwan,Western Producer Prairie Books,0919306438
The American Story,,0.0,Garet Garrett,H. Regenery Co,B0007DVHIY
"JOURNEY INTO WILDERNESS: An Army Surgeon's Account of Life in Camp and Field During the Creek and Seminole Wars, 1836-1838.",New,30.76,Jacob Rhett Motte,University Press of Florida,0813064589
"Four Reasonable Men: Marcus Aurelius, John Stuart Mill, Ernest Renan, Henry Sidgwick",,0.0,Brand Blanshard,Wesleyan,0819561029
Horseman of the King P (Stories of Faith and Fame),Very Good,6.69,Cyril Davey,Lutterworth Press,0718821815
I learned to fly for hitler,Good,16.89,Joe Volmar,Kron,0967138906
A voice crying in the wilderness: The memoirs of Jacob L. Reddix,,0.0,Jacob L. Reddix,University Press of Mississippi,0878050248
Making of a Martial Artist,Acceptable,49.59,Jae K. Shim,Pkd Enterprises,B01K2EHCZY
Louie's widow: One woman's vengeance against the underworld,Good,8.99,Cecile Mileto,Playboy Press,0872234436
Historic Sketches of the Cattle Trade of the West and Southwest,,0.0,Joseph G. McCoy,CreateSpace Independent Publishing Platform,1505918928
"Sam Houston With the Cherokees, 1829-1833",Good,8.29,Rennard Strickland,University of Oklahoma Press,0806128097
Coronado's Quest: The Discovery of the Southwestern States,Good,7.09,A. Grove Day,Mutual Publishing,0935180370
The Man Who Was Don Quixote: The Story of Miguel Cervantes,Good,14.49,Rafaello Busoni,Prentice Hall,0135481074
Les pierres crieront,Very Good,11.89,Molyda Szymusiak,Indiana University Press,025321291X
Riflessi e ombre,Good,15.89,Saul Steinberg,Random House,0375505717
The Strange World of Willie Seabrook,,0.0,Marjorie Muir Worthington,"Harcourt, Brace & World",B0007E3J20
A True Picture of Emigration or Fourteen Years in the Interior of North America Being a Full and Impartial Account of the Various Difficulties and Ultimate Success of an English Family Who Emigrated f,Very Good,5.79,Rebecca Burlend,Bison Books,0803260830
The Secret of the Cure D'Ars (Hart Library),Very Good,12.79,Henri Gheon,Sophia Institute Press,1644138441
Edison As I Know Him,New,23.5,Henry Ford,Kessinger Publishing,116315072X
Emergency room diary,Good,7.39,Theodore Isaac Rubin,Bantam,B00125YTR2
Till Fish Us Do Part: The Confessions of a Fisherman's Wife,Acceptable,10.59,Beatrice Gray Cook,W. Morrow,B0006EUY8I
Sverre Fehn on the Thought of Construction,,0.0,Per-Olaf Fjeld,Rizzoli International Publications,0847804712
An opposing man,,0.0,Ernst Fischer,Liveright,0871405989
"Maxine Cheshire, reporter",Very Good,11.79,"Maxine, Cheshire",Houghton Mifflin,0395263034
The Two Worlds of Marcel Proust,Acceptable,10.19,Harold March,Univ. of Pennsylvania Press,B0007DMYF4
They Call it Pacific: An Eye-Witness Story of Our War Against Japan From Bataan to the Solomons,Good,15.49,Clark Lee,Viking Press,B0007DMB8O
Matt Dillon Quiz Book (Archway Paperback),Good,93.49,Gina Lobuglio,Pocket Books,0671475207
Honey: The life and loves of Lenny's shady lady,Acceptable,37.79,Honey Bruce,Playboy,0872234533
Rolling Stones: An Unauthorized Biography in Words and Pictures,Good,6.69,David Dalton,Music Sales Corp,0825626692
The Assassination Tapes,Good,7.69,G.J.A. O'Toole,Penthouse Press,0891100008
"Into the Copper River valley: The letters and ministry of Vincent James Joy, pioneer missionary to Alaska",Good,21.89,Faye E. Crandall,Carlton Press Corporation,0806220252
Steinbeck and Covici,Very Good,12.19,Thomas C. Fensch,Paul S Eriksson,0839778899
"Robert E. Lee, the Southerner",Acceptable,5.19,Thomas Nelson Page,Createspace Independent Publishing Platform,1502362023
"Robert Graves: The Assault Heroic, 1895-1926",Good,5.79,Richard Perceval Graves,Viking Adult,0670813265
Janáček's Operas,Acceptable,7.29,John Tyrrell,Faber and Faber,0571195822
"Shotgun for hire;: The story of ""Deacon"" Jim Miller, killer of Pat Garrett",Good,86.49,Glenn Shirley,University of Oklahoma Press,0806109025
Bomber!,Good,7.49,Robert Jackson,St. Martin's Press,0312087586
Hunting the Sun: A Passion for Grouse,,0.0,Ted Nelson Lundrigan,Countrysport Press,0924357703
Shanghai Conspiracy: The Sorge Spy Ring,Good,22.59,Charles A. Willoughby,E. P. Dutton,B000W76G9K
"The Lives, Loves, and Art of Arthur B. Davies",Good,5.19,Bennard B. Perlman,State University of New York Press,0791438368
Born to Referee: My Life on the Gridiron,Good,6.09,Alan Steinberg,Pocket Books,0671684655
